city,state,singel_family
Ashland, NE,98.5%
Ashland, NH,100.0%
Ashland, NJ,104.1%
Ashland, NY,
Ashland, OH,98.1%
Ashland, OR,98.3%
Ashland, PA,
Ashland, VA,100.2%
Ashley Heights, NC,
Ashley, IN,
Ashley, MI,
Ashley, OH,92.8%
Ashley, PA,
Ashmore, IL,88.5%
Ashtabula, OH,101.6%
Ashton-Sandy Spring, MD,102.6%
Ashton, ID,
Ashton, IL,
Ashville, AL,64.5%
Ashville, OH,100.3%
Ashville, PA,
Ashwaubenon, WI,101.4%
Asotin, WA,95.2%
Aspen Hill, MD,99.6%
Aspen Park, CO,98.4%
Aspen, CO,92.2%
Aspers, PA,
Aspinwall, PA,97.9%
Assaria, KS,
Assumption, IL,94.8%
Astatula, FL,98.9%
Astor, FL,95.6%
Astoria, IL,
Astoria, OR,96.3%
Atalissa, IA,
Atascadero, CA,100.9%
Atascocita, TX,98.1%
Atchison, KS,94.0%
Atco, NJ,102.9%
Atglen, PA,100.0%
Athena, OR,99.5%
Athens, AL,98.0%
Athens, IL,
Athens, MI,94.5%
Athens, OH,96.8%
Athens, PA,102.5%
Athens, TN,96.9%
Athens, TX,98.1%
Athens, WI,100.0%
Atherton, CA,98.3%
Athol, ID,100.0%
Athol, MA,99.8%
Atkins, AR,99.1%
Atkins, IA,98.9%
Atkinson, IL,96.4%
Atkinson, NC,
Atlanta, GA,97.3%
Atlanta, IL,99.0%
Atlanta, IN,
Atlanta, KS,
Atlantic Beach, FL,97.8%
Atlantic Beach, NC,97.6%
Atlantic Beach, NY,
Atlantic Beach, SC,
Atlantic City, NJ,97.9%
Atlantic City, WY,
Atlantic Highlands, NJ,96.7%
Atlantic Mine, MI,100.0%
Atlantic, NC,
Atlantis, FL,97.4%
Atlas, PA,
Atlasburg, PA,108.3%
Atmore, AL,97.6%
Atoka, NM,
Atoka, TN,98.8%
Attalla, AL,100.1%
Attica, MI,100.6%
Attica, OH,92.4%
Attleboro, MA,102.8%
Atwater, CA,98.4%
Atwater, MN,
Atwater, OH,
Atwood, CO,
Atwood, IL,87.5%
Atwood, PA,
Au Sable Forks, NY,
Auberry, CA,97.8%
Aubrey, TX,97.3%
Auburn Hills, MI,98.5%
Auburn Lake Trails, CA,93.4%
Auburn, AL,99.2%
Auburn, CA,98.5%
Auburn, GA,96.2%
Auburn, IL,100.9%
Auburn, IN,100.4%
Auburn, KS,100.0%
Auburn, MA,101.0%
Auburn, ME,104.2%
Auburn, MI,100.8%
Auburn, NJ,102.4%
Auburn, NY,104.8%
Auburn, PA,63.4%
Auburn, WA,99.7%
Auburndale, FL,97.3%
Auburndale, WI,
Auburntown, TN,
Aucilla, FL,71.4%
Audubon Park, KY,94.3%
Audubon, NJ,95.7%
Audubon, PA,100.1%
August, CA,116.8%
Augusta Springs, VA,
Augusta-Richmond County consolidated government (balance), GA,97.7%
Augusta-Richmond County, GA,97.7%
Augusta, IL,92.9%
Augusta, KS,99.6%
Augusta, KY,
Augusta, ME,102.3%
Augusta, MI,
Augusta, MO,
Augusta, MT,
Augusta, NY,
Augusta, WI,
Aullville, MO,
Ault Field, WA,
Ault, CO,98.4%
Aumsville, OR,98.8%
Aurelius, NY,104.3%
Aurora, CO,99.4%
Aurora, IL,100.6%
Aurora, IN,99.1%
Aurora, NC,
Aurora, NY,98.1%
Aurora, OH,98.5%
Aurora, OR,99.4%
Aurora, SD,
Aurora, TX,
Ausable, NY,96.2%
Austell, GA,94.6%
Austerlitz, NY,96.8%
Austin, AR,100.3%
Austin, IN,102.6%
Austin, MN,98.6%
Austin, TX,97.0%
Austinburg, OH,
Austintown, OH,99.5%
Autaugaville, AL,
Auxvasse, MO,
Ava, IL,
Avalon, CA,
Avalon, FL,99.5%
Avalon, GA,90.7%
Avalon, NJ,97.8%
Avalon, PA,98.9%
Avant, OK,
Ave Maria, FL,94.3%
Avella, PA,
Avenal, CA,
Avenel, NJ,103.8%
Aventura, FL,94.9%
Avenue B & C, AZ,
Averill Park, NY,101.6%
Avery Creek, NC,99.4%
Avila Beach, CA,
Avilla, AR,
Avilla, IN,97.8%
Avimor, ID,
Avis, PA,
Aviston, IL,97.3%
Avoca, AR,
Avoca, IA,97.8%
Avoca, IN,
Avoca, NE,
Avoca, NY,
Avoca, PA,101.2%
Avoca, WI,98.9%
Avocado Heights, CA,105.5%
Avon Lake, OH,99.0%
Avon Park, FL,91.8%
Avon-By-the-Sea, NJ,
Avon, AL,
Avon, CO,103.6%
Avon, IL,
Avon, IN,98.7%
Avon, MA,105.0%
Avon, MN,101.5%
Avon, NC,100.0%
Avon, NY,111.0%
Avon, OH,100.3%
Avon, PA,100.0%
Avon, UT,101.8%
Avondale Estates, GA,99.5%
Avondale, AZ,99.0%
Avondale, CO,
Avondale, LA,107.5%
Avondale, MO,
Avondale, PA,100.0%
Avonia, PA,94.1%
Avonmore, PA,99.1%
Avra Valley, AZ,100.0%
Awendaw, SC,94.2%
Axis, AL,
Axtell, NE,
Ayden, NC,100.0%
Ayer, MA,101.9%
Aynor, SC,99.2%
Azalea Park, FL,99.3%
Azle, TX,98.1%
Aztec, NM,
Azusa, CA,100.1%
Babson Park, FL,
Babylon, NY,100.9%
Bache, OK,
Backus, MN,99.8%
Bacliff, TX,94.6%
Baden, MD,
Baden, PA,96.3%
Badger, AK,96.8%
Badger, IA,
Badin, NC,
Bagdad, FL,97.0%
Bagley, IA,
Bagley, WI,
Bagtown, MD,
Baidland, PA,97.5%
Bailey Lakes, OH,
Bailey, NC,100.0%
Bailey, TX,
Bailey's Crossroads, VA,99.2%
Bailey's Prairie, TX,
Baileyton, AL,
Baileyton, TN,
Baileyville, PA,
Bainbridge Island, WA,99.1%
Bainbridge, GA,99.3%
Bainbridge, IN,
Bainbridge, OH,98.2%
Bainbridge, PA,100.4%
Baird, TX,100.0%
Bairdford, PA,
Bairoil, WY,
Baiting Hollow, NY,82.5%
Baker, LA,98.1%
Bakerhill, AL,
Bakersfield Country Club, CA,100.0%
Bakersfield, CA,99.4%
Bakersfield, VT,
Bakerstown, PA,98.3%
Bal Harbour, FL,81.3%
Bala Cynwyd, PA,97.1%
Balaton, MN,82.6%
Balch Springs, TX,97.9%
Balcones Heights, TX,
